Id,Longitude,Latitude,UF,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,ano,nome_municipio
1300144,-59.885666,-7.19787,AM,26.5,26.5,53,905.975668,905.975668,1811.951336,3,0.447256,0.464625,303.203101,0,1991,Apuí
1300201,-70.187989,-4.366157,AM,4.0,4.0,8,328.1324505,328.1324505,656.264901,4,0.358369,0.368894,21.935674,1,1991,Atalaia do Norte
1300300,-59.133567,-3.578664,AM,9.0,9.0,18,1153.0192255,1153.0192255,2306.038451,3,0.375575,0.390906,66.680014,1,1991,Autazes
1300409,-62.92567,-0.972801,AM,7.0,7.0,14,339.510896,339.510896,679.021792,3,0.467611,0.477951,98.567885,1,1991,Barcelos
1300508,-57.06775,-2.79815,AM,8.5,8.5,17,755.2244505,755.2244505,1510.448901,3,0.379704,0.395657,34.539174,1,1991,Barreirinha
1300607,-70.027348,-4.374989,AM,8.5,8.5,17,565.297095,565.297095,1130.59419,4,0.357399,0.368281,59.955974,1,1991,Benjamin Constant
1300631,-61.371571,-3.894513,AM,3.0,3.0,6,424.6259835,424.6259835,849.251967,4,0.351523,0.359688,0.660524,1,1991,Beruri
1300680,-57.587707,-2.971727,AM,3.5,3.5,7,247.5340065,247.5340065,495.068013,3,0.381122,0.396548,17.66027,1,1991,Boa Vista do Ramos
1300706,-67.399578,-8.751243,AM,10.0,10.0,20,1881.6548705,1881.6548705,3763.309741,3,0.475333,0.484187,372.605744,0,1991,Boca do Acre
1300805,-59.594559,-4.39062,AM,12.0,12.0,24,940.3742575,940.3742575,1880.748515,3,0.399893,0.418337,198.820573,1,1991,Borba
1300839,-61.211334,-3.330093,AM,3.0,3.0,6,98.1740965,98.1740965,196.348193,4,0.353432,0.362249,1.642545,1,1991,Caapiranga
1300904,-64.394231,-6.529106,AM,3.0,3.0,6,284.2520655,284.2520655,568.504131,3,0.380025,0.395212,29.854649,1,1991,Canutama
1301001,-66.896635,-4.881666,AM,7.0,7.0,14,326.943102,326.943102,653.886204,4,0.353488,0.362899,28.96178,1,1991,Carauari
1301100,-60.36381,-3.822447,AM,17.0,17.0,34,940.645113,940.645113,1881.290226,3,0.405015,0.42435,343.500865,1,1991,Careiro
1301159,-59.826314,-3.197397,AM,4.5,4.5,9,118.7531505,118.7531505,237.506301,3,0.354408,0.363734,2.604654,1,1991,Careiro da Várzea
1301209,-63.142184,-4.084219,AM,11.0,11.0,22,1639.112089,1639.112089,3278.224178,3,0.427782,0.44536,525.147821,1,1991,Coari
1301308,-62.06343,-3.843046,AM,7.5,7.5,15,802.7789925,802.7789925,1605.557985,3,0.40197,0.419822,103.756086,1,1991,Codajás
1301407,-69.86629,-6.667353,AM,8.5,8.5,17,518.2722755,518.2722755,1036.544551,3,0.407293,0.42539,359.630882,1,1991,Eirunepé
1301506,-70.030413,-7.439818,AM,2.5,2.5,5,96.5920355,96.5920355,193.184071,3,0.353822,0.362658,0.636644,0,1991,Envira
1301605,-66.096503,-2.512271,AM,6.0,6.0,12,581.4518875,581.4518875,1162.903775,4,0.36698,0.380085,106.721879,1,1991,Fonte Boa
1301654,-72.582431,-7.547774,AM,4.0,4.0,8,229.025793,229.025793,458.051586,3,0.376646,0.391425,16.532584,0,1991,Guajará
1301704,-63.026698,-7.512225,AM,30.5,30.5,61,2319.4401285,2319.4401285,4638.880257,3,0.484358,0.493764,1518.562528,0,1991,Humaitá
1301803,-71.694418,-7.05098,AM,4.5,4.5,9,178.973479,178.973479,357.946958,3,0.368819,0.382108,9.532679,0,1991,Ipixuna
1301852,-60.193388,-3.281054,AM,19.0,19.0,38,1610.7103935,1610.7103935,3221.420787,3,0.476292,0.486229,1850.665383,1,1991,Iranduba
1301902,-58.440175,-3.140379,AM,29.0,29.0,58,3661.7633205,3661.7633205,7323.526641,3,0.490014,0.497513,2064.649749,1,1991,Itacoatiara
